,0
0,barentsburg
1,torbay
2,new norfolk
3,busselton
4,kavieng
5,gorontalo
6,kapaa
7,vaitupu
8,tuktoyaktuk
9,jamestown
10,grand river south east
11,chuy
12,taolanaro
13,albany
14,tasiilaq
15,akonolinga
16,vaini
17,ust-kamchatsk
18,clarence town
19,shieli
20,bredasdorp
21,kaitangata
22,bereda
23,okha
24,clyde river
25,thompson
26,hobart
27,udaipur
28,qaanaaq
29,port alfred
30,lompoc
31,tezu
32,puerto ayora
33,wanning
34,upington
35,the pas
36,vardo
37,staryy nadym
38,yellowknife
39,avarua
40,abu dhabi
41,victoria
42,kodiak
43,severo-kurilsk
44,punta arenas
45,aksarka
46,atuona
47,kozulka
48,port lincoln
49,illoqqortoormiut
50,carnarvon
51,bethel
52,mataura
53,alexandria
54,port elizabeth
55,san patricio
56,brae
57,zuwarah
58,nova olinda do norte
59,rikitea
60,meulaboh
61,penalva
62,suchedniow
63,boyolangu
64,constantine
65,paamiut
66,faanui
67,nueve de julio
68,khatanga
69,redlands
70,leninskoye
71,ushuaia
72,margate
73,boralday
74,port hawkesbury
75,champerico
76,tuatapere
77,fukue
78,khash
79,mayumba
80,touros
81,petropavlovsk-kamchatskiy
82,shimoda
83,lorengau
84,mar del plata
85,karratha
86,cherskiy
87,mahebourg
88,omboue
89,caravelas
90,kosh-agach
91,bambous virieux
92,ushtobe
93,koygorodok
94,hermanus
95,bluff
96,tsihombe
97,hit
98,iqaluit
99,saint-philippe
100,vao
101,armidale
102,cidreira
103,biak
104,waddan
105,corrientes
106,lincoln
107,beringovskiy
108,geraldton
109,santiago del estero
110,clinton
111,jimenez
112,tabiauea
113,lebu
114,kenai
115,taoudenni
116,tateyama
117,nikolskoye
118,fallon
119,kirillov
120,airai
121,gazanjyk
122,nome
123,bubaque
124,bur gabo
125,east london
126,ribeira grande
127,naze
128,flin flon
129,srednekolymsk
130,cape town
131,comodoro rivadavia
132,hithadhoo
133,alofi
134,kismayo
135,padang
136,umzimvubu
137,deputatskiy
138,trelew
139,hilo
140,barrow
141,crotone
142,arraial do cabo
143,te anau
144,hobyo
145,upernavik
146,camrose
147,pedra azul
148,kazalinsk
149,normandin
150,walvis bay
151,zabaykalsk
152,coihueco
153,ilulissat
154,lima
155,worland
156,fortuna
157,umm lajj
158,bohmte
159,utiroa
160,ashland
161,faya
162,yar-sale
163,castro
164,bacuit
165,ancud
166,dikson
167,ponta delgada
168,homer
169,bima
170,los llanos de aridane
171,weligama
172,klaksvik
173,pinega
174,ust-maya
175,dharur
176,fairbanks
177,dzhebariki-khaya
178,olimpia
179,bengkulu
180,boddam
181,cabo san lucas
182,nova olimpia
183,la paz
184,butaritari
185,chicama
186,katsuura
187,sitka
188,amravati
189,georgetown
190,kapoeta
191,olinda
192,hasaki
193,chimbote
194,rockport
195,gorin
196,attawapiskat
197,portland
198,pisco
199,kerrobert
200,varzea da palma
201,pahrump
202,vyshestebliyevskaya
203,arman
204,lodwar
205,ordu
206,guerrero negro
207,nouadhibou
208,inuvik
209,lavrentiya
210,kulhudhuffushi
211,charters towers
212,gravdal
213,karaul
214,barretos
215,bitung
216,pevek
217,ossora
218,itaquyry
219,yumen
220,kropotkin
221,chiredzi
222,ambulu
223,saint-pierre
224,necochea
225,forestville
226,xining
227,coahuayana
228,novoagansk
229,vestmannaeyjar
230,tiksi
231,ambilobe
232,garowe
233,poso
234,yuza
235,hambantota
236,mnogovershinnyy
237,carutapera
238,bauru
239,hervey bay
240,beira
241,otofuke
242,shenzhen
243,codrington
244,batagay
245,norman wells
246,pemberton
247,lufilufi
248,marzuq
249,prabumulih
250,jacareacanga
251,esperance
252,saldanha
253,la ciotat
254,jaisalmer
255,tilichiki
256,pascagoula
257,tabou
258,adolfo lopez mateos
259,nahuatzen
260,seymchan
261,huainan
262,camacha
263,pringsewu
264,russell
265,samusu
266,berlevag
267,zhigansk
268,arona
269,rio gallegos
270,yenagoa
271,jandiala
272,warqla
273,porto novo
274,akdepe
275,zlatoustovsk
276,yei
277,belushya guba
278,longyearbyen
279,aflu
280,siruguppa
281,amarante do maranhao
282,cairns
283,cururupu
284,barkly west
285,ola
286,taltal
287,pangody
288,itacare
289,saravan
290,dukat
291,novoorsk
292,cap-aux-meules
293,sao filipe
294,quelimane
295,tura
296,catemaco
297,marang
298,kapuskasing
299,coquimbo
300,rio grande
301,garden city
302,raga
303,kruisfontein
304,ponta do sol
305,cabedelo
306,guarapari
307,lyubeshiv
308,labutta
309,kerema
310,sarangani
311,gibara
312,matay
313,lyubech
314,saint-francois
315,zhanaozen
316,dwarka
317,yuanping
318,kurilsk
319,mount isa
320,saint george
321,asau
322,alice springs
323,ilebo
324,emilio carranza
325,gamba
326,george town
327,kavaratti
328,veraval
329,conceicao do araguaia
330,derzhavinsk
331,atyashevo
332,erenhot
333,gangotri
334,buraydah
335,zyryanka
336,saleaula
337,kupang
338,asosa
339,mpophomeni
340,dharmadam
341,alikovo
342,narsaq
343,mahibadhoo
344,bachatskiy
345,lerwick
346,yuzhno-yeniseyskiy
347,rock springs
348,baykit
349,maragogi
350,nizhneyansk
351,pacific grove
352,gurgan
353,vanavara
354,kibaya
355,martapura
356,nelson bay
357,corinto
358,komsomolskiy
359,amderma
360,koutsouras
361,sulina
362,katobu
363,olafsvik
364,samarai
365,kalamakion
366,leshukonskoye
367,bayir
368,santa cruz
369,dongsheng
370,pilar
371,dunedin
372,hami
373,ahipara
374,anadyr
375,muscat
376,saskylakh
377,arlit
378,maceio
379,lagoa
380,shiyan
381,ipubi
382,copenhagen
383,jiwani
384,gondanglegi
385,batemans bay
386,rawson
387,honiara
388,aripuana
389,lata
390,salalah
391,maxixe
392,krasnogvardeyskoye
393,maningrida
394,chokurdakh
395,opuwo
396,cayenne
397,kuliyapitiya
398,mount pleasant
399,kralendijk
400,puerto escondido
401,tecuala
402,ostrovnoy
403,luocheng
404,colombo
405,stornoway
406,benjamin constant
407,bilibino
408,mount gambier
409,ketchikan
410,nacozari
411,provideniya
412,talnakh
413,westport
414,chingola
415,chelno-vershiny
416,waipawa
417,barawe
418,panaba
419,mae sot
420,sao joao da barra
421,kumluca
422,buariki
423,zabid
424,panguna
425,pangnirtung
426,sierra vista
427,ucluelet
428,roros
429,inta
430,hofn
431,acapulco
432,dongning
433,jurmala
434,santo antonio do ica
435,nalut
436,goundam
437,hualmay
438,bukachacha
439,divnogorsk
440,chagoda
441,elko
442,gurupa
443,tual
444,sisimiut
445,adrar
446,fayaoue
447,iquique
448,namatanai
449,henties bay
450,itarema
451,grand gaube
452,havoysund
453,bose
454,kulaman
455,isangel
456,peace river
457,banda aceh
458,albania
459,ust-kuyga
460,havre-saint-pierre
461,laguna
462,hamilton
463,grindavik
464,helong
465,karamay
466,portalegre
467,westpunt
468,lixourion
469,mayo
470,porangatu
471,usinsk
472,louisbourg
473,yashalta
474,marsh harbour
475,manoel urbano
476,denpasar
477,ughelli
478,niteroi
479,loksa
480,manggar
481,dingle
482,maamba
483,gat
484,chhaprauli
485,chojnice
486,brazzaville
487,riyadh
488,mabaruma
489,aykhal
490,mantena
491,puerto cabezas
492,bambanglipuro
493,envira
494,koupela
495,yerbogachen
496,talcahuano
497,rafaela
498,joensuu
499,karabulak
500,ukiah
501,luderitz
502,skibbereen
503,teguldet
504,virginia beach
505,suntar
506,keetmanshoop
507,mendahara
508,alzamay
509,tazovskiy
510,leningradskiy
511,sao lourenco do sul
512,palompon
513,jambi
514,marcona
515,solnechnyy
516,kodinsk
517,trincomalee
518,parrita
519,kuche
520,hornepayne
521,athabasca
522,qaqortoq
523,ulverstone
524,port-gentil
525,callander
526,natal
527,abu samrah
528,sadon
529,houma
530,resistencia
531,tasbuget
532,samoded
533,sioux lookout
534,vineland
535,igarka
536,khipro
537,rawannawi
538,kampene
539,nizhniy odes
540,petrolina
541,praia da vitoria
542,juba
543,erdenet
544,dalby
545,arrecife
546,la ronge
547,ngunguru
548,wahran
549,maldonado
550,williston
551,bilma
552,antofagasta
553,acajutla
554,dien bien
555,plouzane
556,port hardy
557,amapa
558,challans
559,linxia
560,sun valley
561,borovskoy
562,souillac
563,nuuk
564,crab hill
565,cuiluan
566,manokwari
567,constitucion
568,puerto carreno
569,paralimni
570,tautira
571,vohma
572,sola
573,itacoatiara
574,semenivka
575,shirokiy
576,vostok
577,harlingen
578,waingapu
579,laredo
580,iwanai
581,teluknaga
582,chapais
583,kirakira
584,pocri
585,riachao das neves
586,duz
587,channahon
588,mys shmidta
589,tessalit
590,misawa
591,panubigan
592,poum
593,peniche
594,grand centre
595,dondo
596,marrakesh
597,glenwood springs
598,kondinskoye
599,barao de melgaco
600,bouca
601,nantucket
602,karpogory
603,bartica
604,nizhnevartovsk
605,chivacoa
606,ziway
