,City,Latitude,Longitude,Humidity,Wind_Speed,Temperature,Cloudiness
0,São Filipe,14.9,-24.5,81,0.64,36.812,100
1,East London,-33.02,27.91,31,5.44,35.339999999999996,0
2,Nikolskoye,59.7,30.79,87,1.0,34.144000000000005,0
3,Punta Arenas,-53.15,-70.92,86,9.3,32.186,22
4,Qasigiannguit,68.82,-51.19,81,1.0,33.42999999999999,11
5,Petropavlovsk-Kamchatskiy,53.05,158.65,68,5.0,35.83,20
6,Hermanus,-34.42,19.23,71,5.36,34.80800000000001,86
7,Saint-Pierre,-21.34,55.48,68,2.6,35.158,2
8,Rikitea,-23.12,-134.97,75,5.89,36.355999999999995,54
9,Safi,32.3,-9.24,91,5.99,36.226,0
10,Mataura,-46.19,168.86,83,2.2,33.474000000000004,83
11,Geraldton,-28.77,114.6,68,5.7,35.83,40
12,Albany,42.6,-73.97,89,2.21,36.684000000000005,90
13,Evensk,61.95,159.23,73,4.3,35.622,11
14,Dikson,73.51,80.55,97,2.35,33.001999999999995,100
15,Port Alfred,-33.59,26.89,32,4.25,35.212,0
16,Atuona,-9.8,-139.03,77,8.05,37.279999999999994,4
17,Norrtälje,59.76,18.7,93,1.5,33.884,2
18,Puerto Ayora,-0.74,-90.35,93,0.45,36.029999999999994,46
19,Asău,46.43,26.4,76,8.2,34.616,80
20,Katsuura,35.13,140.3,69,0.45,36.604,99
21,Kamenka,51.32,42.77,79,0.89,35.91799999999999,65
22,Upernavik,72.79,-56.15,89,3.92,33.06,77
23,Ancud,-41.87,-73.82,77,2.1,32.08200000000001,20
24,Ulladulla,-35.35,150.47,67,2.1,34.65,40
25,Petites Anses,15.85,-61.64,83,2.1,37.42999999999999,20
26,San Policarpo,12.18,125.51,70,3.16,37.874,100
27,Yellowknife,62.46,-114.35,43,3.1,36.266,75
28,Kavieng,-2.57,150.8,65,2.0,37.874,51
29,Yining,29.04,114.56,68,1.71,38.23,99
30,Vaini,-21.2,-175.2,73,5.7,36.629999999999995,75
31,Qaanaaq,77.48,-69.36,69,0.62,33.272000000000006,97
32,Osijek,45.55,18.69,93,1.5,34.45,0
33,Panabá,21.28,-88.27,85,2.86,37.053999999999995,46
34,Hong Kong,22.29,114.16,66,4.02,38.352,8
35,Kaitangata,-46.28,169.85,63,3.13,33.80800000000001,25
36,Iqaluit,63.75,-68.51,67,5.1,34.588,40
37,Saint Paul Harbor,57.79,-152.41,81,7.2,34.42999999999999,90
38,Kumul,42.8,93.45,30,0.75,37.536,91
39,Ilulissat,69.22,-51.1,81,1.0,33.42999999999999,61
40,Simao,22.79,100.97,96,1.99,35.786,100
41,Ponta do Sol,32.67,-17.1,75,0.57,35.838,0
42,Toamasina,-18.17,49.38,93,1.82,35.83,40
43,Antofagasta,-23.65,-70.4,71,0.5,34.83,90
44,Ushuaia,-54.8,-68.3,95,8.7,32.42999999999999,75
45,Rocky Mountain House,52.37,-114.92,86,0.25,34.327999999999996,100
46,Hasaki,35.73,140.83,88,2.1,36.326,75
47,Berlevåg,70.86,29.09,87,0.7,33.766,2
48,Torbay,47.67,-52.73,87,10.3,34.541999999999994,90
49,Khandyga,62.67,135.6,40,2.19,37.94199999999999,0
50,Luanda,-8.84,13.23,88,1.0,36.029999999999994,100
51,Lavrentiya,65.58,-171.0,77,3.07,33.52,12
52,Bahía Blanca,-38.72,-62.27,62,5.09,33.016,97
53,Hilo,19.73,-155.09,58,3.6,37.19,75
54,Clyde River,70.47,-68.59,93,3.1,32.83,75
55,Cherskiy,68.75,161.3,85,1.21,34.608000000000004,100
56,Tonj,7.27,28.68,94,1.09,36.286,100
57,Souillac,-20.52,57.52,78,8.2,36.42999999999999,75
58,Portland,45.52,-122.68,40,5.1,36.386,20
59,Vereeniging,-26.67,27.93,67,1.82,32.438,0
60,Port Blair,11.67,92.75,77,6.33,37.760000000000005,100
61,Cap Malheureux,-19.98,57.61,81,4.47,36.141999999999996,1
62,Lucea,18.45,-78.17,83,2.1,37.45399999999999,20
63,Saint George,37.1,-113.58,10,7.7,40.382000000000005,1
64,Hambantota,6.12,81.12,100,2.1,37.23,75
65,Berdigestyakh,62.1,126.7,38,1.35,38.842,13
66,Busselton,-33.65,115.33,66,6.54,35.188,88
67,Pisco,-13.7,-76.22,87,1.0,35.144000000000005,40
68,Mirzāpur,25.15,82.58,79,1.5,38.029999999999994,75
69,Talcahuano,-36.72,-73.12,93,3.6,34.029999999999994,90
70,Mugur-Aksy,50.35,90.5,75,2.19,34.212,100
71,Bluff,-46.6,168.33,74,6.4,33.83,92
72,Meybod,32.25,54.02,20,4.1,38.029999999999994,20
73,Jamestown,42.1,-79.24,88,2.1,35.80800000000001,1
74,Olafsvik,64.89,-23.71,81,1.19,34.105999999999995,87
75,Esperance,-33.87,121.9,54,9.8,34.42999999999999,0
76,Taksimo,56.34,114.88,42,1.33,37.672000000000004,9
77,Comodoro Rivadavia,-45.87,-67.5,64,4.6,32.83,1
78,Saint-Philippe,-21.36,55.77,68,2.6,35.09400000000001,30
79,Tooele,40.53,-112.3,27,1.5,38.242,1
80,Moerai,-22.43,-151.33,80,7.16,36.6,100
81,Hobart,-42.88,147.33,70,3.1,33.878,75
82,Provideniya,64.38,-173.3,81,6.0,33.83,40
83,Todos Santos,23.45,-110.22,84,0.89,37.141999999999996,94
84,Mahébourg,-20.41,57.7,78,8.2,36.42999999999999,75
85,Belyy Yar,53.6,91.39,77,0.37,35.629999999999995,92
86,Santa Maria,-29.68,-53.81,93,1.0,34.42999999999999,40
87,Kapaa,22.08,-159.32,74,7.2,37.178,75
88,Beringovskiy,63.05,179.32,86,3.99,34.08,100
89,Butaritari,3.07,172.79,76,5.47,37.75599999999999,86
90,Tiksi,71.69,128.87,51,2.44,35.715999999999994,0
91,Camabatela,-8.19,15.38,99,1.15,34.74400000000001,36
92,Ashcroft,50.72,-121.29,62,4.6,34.879999999999995,75
93,Escanaba,45.75,-87.06,68,1.5,35.44199999999999,1
94,Arenápolis,-14.45,-56.85,52,1.35,36.732000000000006,19
95,Saskylakh,71.92,114.08,54,6.6,35.682,89
96,Orange Cove,36.62,-119.31,20,3.19,39.814,1
97,Touros,-5.2,-35.46,94,2.1,36.42999999999999,75
98,Bambous Virieux,-20.34,57.76,78,8.2,36.294000000000004,75
99,Tuktoyaktuk,69.45,-133.04,62,6.2,35.029999999999994,75
100,Lüderitz,-26.65,15.16,93,2.1,34.23,0
101,Chui,-33.7,-53.46,73,4.13,33.258,49
102,Pavlodar,52.3,76.95,56,6.0,36.42999999999999,100
103,Huilong,31.81,121.66,78,6.21,38.053999999999995,100
104,Yuzhno-Kurilsk,44.03,145.86,84,4.38,34.903999999999996,98
105,Kruisfontein,-34.0,24.73,37,3.38,34.525999999999996,0
106,George Town,5.41,100.34,78,4.6,37.562,20
107,Carnarvon,-24.87,113.63,64,3.1,36.629999999999995,0
108,Griffith,41.53,-87.42,77,3.1,36.116,1
109,Solnechnyy,50.72,136.63,57,1.55,37.06,37
110,Chokurdakh,70.63,147.92,40,3.85,36.69199999999999,33
111,Qui Nhon,13.77,109.23,61,2.5,38.19199999999999,21
112,Agadez,19.75,10.25,35,3.39,37.882000000000005,0
113,Eyl,7.98,49.82,66,11.67,37.517999999999994,38
114,Mar del Plata,-38.0,-57.56,65,7.2,33.108000000000004,0
115,Buraidah,26.33,43.98,27,1.5,38.629999999999995,20
116,Airai,-8.93,125.41,68,2.76,36.09400000000001,100
117,Thunder Bay,48.4,-89.32,77,2.1,35.83,20
118,Castro,-24.79,-50.01,89,1.96,34.867999999999995,2
119,Bermeo,43.42,-2.72,88,0.5,35.738,75
120,Port Elizabeth,-33.92,25.57,44,4.1,34.83,0
121,Anloga,5.79,0.9,88,3.1,36.83,20
122,Akdepe,42.06,59.38,26,7.2,37.83,0
123,Oktyabr'skoye,43.06,44.74,62,1.78,35.758,19
124,Soyo,-6.13,12.37,81,3.03,36.470000000000006,85
125,Deputatsky,69.3,139.9,43,3.7,36.536,73
126,Lakes Entrance,-37.88,147.98,87,3.58,34.91799999999999,14
127,Karratha,-20.74,116.85,22,8.33,36.378,0
128,Pevek,69.7,170.31,66,3.04,34.108000000000004,34
129,Talnakh,69.49,88.4,58,3.0,34.83,100
130,Grand Gaube,-20.01,57.66,81,4.47,36.141999999999996,2
131,San Cristobal,7.77,-72.22,82,0.82,35.727999999999994,100
132,Arraial do Cabo,-22.97,-42.03,79,5.93,36.470000000000006,46
133,Jahāngīrpur,28.18,77.72,79,1.5,37.83,40
134,Banda Aceh,5.56,95.32,69,2.41,37.67,100
135,Vila Franca do Campo,37.72,-25.43,77,1.5,35.83,40
136,Erzin,36.96,36.2,90,1.77,37.141999999999996,83
137,Bengkulu,-3.8,102.27,77,0.78,37.378,82
138,Bonfim,3.08,-59.95,84,1.95,36.944,100
139,Adrar,20.5,-10.07,33,5.58,38.636,68
140,Bethel,41.37,-73.41,64,2.1,36.788,40
141,Kisangani,0.52,25.2,94,0.89,36.434000000000005,100
142,Seoul,37.57,126.98,93,2.1,35.948,90
143,Tawao,4.25,117.89,74,2.1,38.029999999999994,20
144,Nelson Bay,-32.72,152.15,67,5.1,34.94199999999999,20
145,Lebu,-37.62,-73.65,88,3.37,33.827999999999996,100
146,Tessalit,20.2,1.01,30,3.32,38.484,9
147,Rio de Loba,40.67,-7.88,37,1.34,36.586,0
148,Scarborough,54.28,-0.4,85,0.45,34.61,100
149,Yulara,-25.24,130.99,41,7.7,34.83,0
150,Severo-Kuril'sk,50.68,156.12,88,4.45,34.166,98
151,Bagnols-sur-Cèze,44.16,4.62,64,2.68,35.970000000000006,98
152,Biak,-0.91,122.88,72,3.26,37.564,79
153,New Norfolk,-42.78,147.06,82,0.67,33.61,0
154,Bulawayo,-20.15,28.58,65,3.27,33.148,0
155,Newnan,33.38,-84.8,71,1.23,36.589999999999996,98
156,Plettenberg Bay,-34.05,23.37,32,4.94,35.339999999999996,0
157,Vao,-22.67,167.48,78,8.12,36.496,98
158,Hargeisa,9.56,44.06,63,14.56,36.176,100
159,Abbeville,50.1,1.83,82,1.5,33.972,11
160,Nanortalik,60.14,-45.24,86,1.54,33.534000000000006,100
161,Sitka,57.05,-135.33,82,1.5,34.83,90
162,Hofn,64.25,-15.21,86,3.93,34.246,100
163,Narsaq,60.92,-46.05,76,1.0,34.23,100
164,Taozhuang,34.85,117.33,78,4.29,36.908,71
165,Erdenet,49.03,104.08,73,1.91,35.653999999999996,0
166,Biryusinsk,55.96,97.82,60,3.21,36.120000000000005,70
167,Acaraú,-2.89,-40.12,81,6.47,37.062,26
168,Champerico,14.3,-91.92,77,2.7,37.564,59
169,Nhulunbuy,-12.23,136.77,54,11.3,37.23,75
170,Sooke,48.37,-123.73,59,2.24,35.548,3
171,Mopti,14.67,-4.0,41,4.95,38.672000000000004,13
172,Bakchar,57.02,82.07,90,2.3,35.21,98
173,Mazyr,52.05,29.25,95,3.23,34.254,100
174,Yangi Marg`ilon,40.43,71.72,34,2.1,37.42999999999999,60
175,Nouadhibou,20.93,-17.03,79,4.54,36.516,0
176,San Quintín,30.48,-115.95,62,5.21,36.69,0
177,Tinskoy,56.15,96.92,60,3.1,36.06,93
178,Cape Town,-33.93,18.42,54,12.9,35.029999999999994,75
179,Leningradskiy,69.38,178.42,69,4.68,33.324,82
180,Tasiilaq,65.61,-37.64,93,2.1,32.42999999999999,27
181,Londonderry,55.0,-7.31,96,2.47,34.908,100
182,Padang,-0.95,100.35,81,1.74,37.15599999999999,100
183,Alice Springs,-23.7,133.88,47,6.7,34.504,0
184,Te Anau,-45.42,167.72,74,0.19,33.242,4
185,Lutkun,41.48,47.69,59,2.68,35.278,2
186,Mana,5.66,-53.78,88,3.47,37.086,60
187,Binga,-17.62,27.34,42,0.95,34.504,0
188,Bom Jardim,-7.8,-35.59,96,1.7,35.660000000000004,0
189,Mwinilunga,-11.74,24.43,53,2.29,34.477999999999994,0
190,Mossamedes,-15.2,12.15,78,3.77,35.372,0
191,Ampanihy,-24.7,44.75,90,1.79,35.122,14
192,Karatau,43.17,70.47,28,5.03,36.720000000000006,0
193,Montrose,38.42,-108.27,19,3.1,37.52,1
194,Khovd,48.01,91.64,54,0.56,35.576,100
195,Mitsamiouli,-11.38,43.28,72,2.4,37.08,0
196,Takoradze,4.88,-1.76,91,3.28,36.672000000000004,37
197,Barranca,-10.75,-77.77,90,2.3,35.08200000000001,6
198,Tiarei,-17.53,-149.33,61,3.1,37.396,75
199,Baymak,52.59,58.32,78,0.92,36.384,0
200,Nara,34.69,135.8,88,1.0,36.17,75
201,Skibbereen,51.55,-9.27,93,5.7,34.83,90
202,Progress,40.29,-76.83,95,0.7,36.112,96
203,Hamilton,39.18,-84.53,88,2.44,35.95,1
204,Broome,42.25,-75.83,82,3.6,35.766,40
205,Tuatapere,-46.13,167.68,66,1.69,33.738,44
206,Arman',59.7,150.17,64,2.5,35.862,57
207,Pāvilosta,56.89,21.19,100,2.87,33.54,0
208,Aykhal,66.0,111.5,49,4.0,36.029999999999994,0
209,Avarua,-21.21,-159.78,94,4.1,36.029999999999994,100
210,Kodinsk,58.69,99.18,47,1.6,36.59400000000001,12
211,Shache,38.42,77.24,23,4.08,37.686,92
212,Sechura,-5.56,-80.82,79,6.68,35.694,0
213,Rockland,41.17,-74.05,69,3.28,36.922000000000004,81
214,Araouane,18.9,-3.53,24,1.87,39.068,31
215,Camacha,33.08,-16.33,77,5.1,36.029999999999994,40
216,Ucluelet,48.93,-125.55,77,5.7,35.24400000000001,20
217,Moyale,3.52,39.06,88,6.24,35.763999999999996,94
218,Fortuna,40.6,-124.16,82,6.2,35.498000000000005,20
219,Camopi,3.17,-52.32,96,0.78,36.465999999999994,9
220,Westport,41.14,-73.36,78,2.1,36.91799999999999,1
221,Mezen',65.85,44.24,85,1.13,34.120000000000005,19
222,Conde,-7.26,-34.91,94,2.1,36.42999999999999,0
223,Moranbah,-22.0,148.05,25,4.84,35.992,0
224,Lorengau,-2.02,147.27,59,2.25,38.08200000000001,75
225,Oddur,4.12,43.89,83,7.96,36.42999999999999,5
226,Roebourne,-20.78,117.13,23,8.02,36.348,0
227,Fukuechō,32.69,128.84,94,6.7,37.23,75
228,Guadalupe,25.68,-100.25,24,4.1,38.95399999999999,40
229,Marquette,46.53,-87.63,84,0.45,35.172000000000004,0
230,Najrān,17.49,44.13,27,2.1,38.029999999999994,40
231,Ogaminana,7.59,6.22,95,3.48,36.40599999999999,99
232,Cockburn Town,21.46,-71.14,79,7.03,37.722,0
233,Tsimmerbude,54.67,20.13,93,3.0,34.42999999999999,40
234,Liaozhong,41.51,122.72,78,2.0,37.23,100
235,Kaniama,-7.57,24.18,48,0.93,35.824,37
236,Vostok,46.49,135.88,84,1.47,36.08,51
237,Salalah,17.02,54.09,100,2.1,37.42999999999999,90
238,Atikokan,48.76,-91.62,66,1.39,35.69199999999999,4
239,Tabou,4.42,-7.35,77,2.46,36.814,93
240,Bindura,-17.3,31.33,68,0.46,33.46,0
241,Byron Bay,-28.65,153.62,59,4.6,35.714,40
242,Guerrero Negro,27.98,-114.06,54,8.54,36.879999999999995,0
243,Bredasdorp,-34.53,20.04,82,8.7,34.629999999999995,95
244,Hammerfest,70.66,23.68,76,1.5,34.23,91
245,Bilibino,68.05,166.44,81,1.14,35.196000000000005,100
246,Dahra,36.25,0.85,50,2.17,37.23,78
247,Quatre Cocos,-20.21,57.76,78,8.2,36.336,75
248,Vanino,49.09,140.25,64,2.95,36.044000000000004,73
249,Matara,5.95,80.54,84,3.99,37.467999999999996,100
250,Blind River,46.18,-82.96,68,4.6,35.89,90
251,Campbell River,50.02,-125.24,68,1.5,35.61,75
252,Forsytheganj,52.63,29.73,95,3.88,34.263999999999996,100
253,Yar-Sale,66.83,70.83,94,4.77,34.294000000000004,100
254,Mehamn,71.04,27.85,81,1.81,33.83200000000001,0
255,Taltal,-25.4,-70.48,78,1.38,34.562,33
256,Arsk,56.09,49.88,56,4.0,36.23,45
257,Merritt Island,28.54,-80.67,83,2.1,37.315999999999995,1
258,Kalachinsk,55.05,74.58,75,2.9,35.538,1
259,Biltine,14.53,20.92,45,3.81,38.053999999999995,82
260,Lompoc,34.64,-120.46,77,5.7,35.574,0
261,Chiungutwa,-10.88,38.98,96,0.33,35.428,6
262,Kuching,1.55,110.33,79,2.1,37.83,40
263,Singaraja,-8.11,115.09,60,0.61,37.802,10
264,Requena,39.49,-1.1,97,1.18,35.474000000000004,1
265,Alofi,-19.06,-169.92,78,9.8,36.83,19
266,Sabha,27.04,14.43,30,4.05,37.396,0
267,Zorgo,12.25,-0.62,75,5.02,37.074,71
268,Koshurnikovo,54.17,93.3,69,0.41,35.926,80
269,Port-Gentil,-0.72,8.78,90,6.27,36.67999999999999,100
270,Puerto Escondido,15.85,-97.07,78,1.55,37.455999999999996,91
271,Upington,-28.45,21.26,42,8.11,33.92999999999999,0
272,Palmer,42.16,-72.33,78,1.32,36.652,75
273,Ribeira Grande,38.52,-28.7,81,7.02,36.11,8
274,Sakakah,29.97,40.21,25,3.1,37.83,0
275,Bend,44.06,-121.32,29,5.7,36.315999999999995,1
276,Am Timan,11.03,20.28,88,1.79,36.81,83
277,Freeport,40.66,-73.58,65,5.1,37.263999999999996,20
278,Senanga,-16.12,23.27,47,2.29,33.891999999999996,0
279,Pangnirtung,66.15,-65.71,67,0.8,33.715999999999994,30
280,Ponta Delgada,37.73,-25.67,77,1.5,35.83,40
281,Mount Gambier,-37.83,140.77,93,2.1,34.42999999999999,0
282,Nome,64.5,-165.41,55,9.3,35.854,1
283,Hithadhoo,-0.6,73.08,75,4.67,37.855999999999995,38
